id_website,count_ad_requests_today,count_video_start_today,count_ad_start_today
1e4a7d34f17842ed9019668c60a441bd,1902099,567094,1174881
c508bdb81fb84da49418486ad397515f,567804,186774,317882
7893c3c3e5c544af9226ce3a3e0eb20d,230786,45195,120817
bcc2bcea125b48458e84b9f5a8016815,197363,51206,123402
dc5b3c471ccc4e99bfd8d04f70d24fe8,168027,43677,85515
13495cc7ee664357aae3cb92403ce533,116732,27006,65437
1ea698586eef431780b6f9f983b1d0e7,34361,8916,21901
9ceb8979d76c4cdb911d3ca8d53dd6a1,20158,5980,7406
af9b9d38874444e5a7f7d25d2677de7f,11900,3808,6299
fe8f1d75bc7a472c8ddb11602e397d7c,5834,34,1610
367f1ea2a1fc45b98a8e4f7f82d89d15,3841,679,2111
-,507,0,341
{{id_website}},407,323,75236
dda44f2a035e45018432f4cb92cd381f,377,58,114
980dc089f55f4c17876fbdf9dc7ab73c,222,6,110
d5c73464461b44f4803ba53ac2a901dd,162,44,80
077b41799b894ec0a4f29601045f2f75,3,0,0
195270461bc8469489b30d7e3d6b6327,3,0,3
edc8ce95c7a64fa9b1c708eef774589c,2,0,2
3239f171e5484f4eaf034b43994a98a1,0,6,0
2ce11b24494b45d69b3abbdf7d584c12,0,1,0
c74f8753a6da4cbeb4b48f57d75b289c,0,1,0
,0,78,0
%7B%7Bid_website%7D%7D,0,1,0
