id_website,event_date,count_ad_requests_today,count_video_start_today,count_ad_start_today
bcc2bcea125b48458e84b9f5a8016815,14/05/23,8115,2195,5434
bcc2bcea125b48458e84b9f5a8016815,12/05/23,7639,2094,5227
bcc2bcea125b48458e84b9f5a8016815,11/05/23,7182,1961,4762
bcc2bcea125b48458e84b9f5a8016815,08/05/23,6459,1690,3533
bcc2bcea125b48458e84b9f5a8016815,07/05/23,6423,1541,3524
bcc2bcea125b48458e84b9f5a8016815,10/05/23,6331,1687,3969
bcc2bcea125b48458e84b9f5a8016815,09/05/23,5832,1444,3307
bcc2bcea125b48458e84b9f5a8016815,13/05/23,5613,1537,3743
bcc2bcea125b48458e84b9f5a8016815,02/05/23,5512,1283,2960
bcc2bcea125b48458e84b9f5a8016815,01/05/23,5372,1282,2972
bcc2bcea125b48458e84b9f5a8016815,06/05/23,5287,1251,3119
bcc2bcea125b48458e84b9f5a8016815,03/05/23,5243,1341,3164
bcc2bcea125b48458e84b9f5a8016815,05/05/23,4991,1273,3317
bcc2bcea125b48458e84b9f5a8016815,04/05/23,4895,1323,3103
bcc2bcea125b48458e84b9f5a8016815,16/04/23,4517,1101,2576
bcc2bcea125b48458e84b9f5a8016815,09/04/23,4441,1162,2890
bcc2bcea125b48458e84b9f5a8016815,30/04/23,4278,1165,2608
bcc2bcea125b48458e84b9f5a8016815,27/04/23,4189,1138,2728
bcc2bcea125b48458e84b9f5a8016815,08/04/23,4056,1065,2721
bcc2bcea125b48458e84b9f5a8016815,15/04/23,4051,984,2535
bcc2bcea125b48458e84b9f5a8016815,17/04/23,3995,1006,2519
bcc2bcea125b48458e84b9f5a8016815,29/04/23,3968,1111,2689
bcc2bcea125b48458e84b9f5a8016815,23/04/23,3937,1025,2539
bcc2bcea125b48458e84b9f5a8016815,26/04/23,3858,1013,2370
bcc2bcea125b48458e84b9f5a8016815,25/04/23,3796,968,2262
bcc2bcea125b48458e84b9f5a8016815,06/04/23,3784,965,2357
bcc2bcea125b48458e84b9f5a8016815,07/04/23,3778,1016,2549
bcc2bcea125b48458e84b9f5a8016815,02/04/23,3694,981,2240
bcc2bcea125b48458e84b9f5a8016815,10/04/23,3649,927,2224
bcc2bcea125b48458e84b9f5a8016815,05/04/23,3522,955,2395
bcc2bcea125b48458e84b9f5a8016815,01/04/23,3520,987,2078
bcc2bcea125b48458e84b9f5a8016815,28/04/23,3509,1034,2406
bcc2bcea125b48458e84b9f5a8016815,19/04/23,3500,986,2337
bcc2bcea125b48458e84b9f5a8016815,14/04/23,3483,876,2419
bcc2bcea125b48458e84b9f5a8016815,18/04/23,3460,918,2200
bcc2bcea125b48458e84b9f5a8016815,24/04/23,3439,936,2101
bcc2bcea125b48458e84b9f5a8016815,03/04/23,3394,938,1985
bcc2bcea125b48458e84b9f5a8016815,22/04/23,3383,940,2035
bcc2bcea125b48458e84b9f5a8016815,04/04/23,3379,871,2140
bcc2bcea125b48458e84b9f5a8016815,20/04/23,3327,890,2222
bcc2bcea125b48458e84b9f5a8016815,13/04/23,3312,869,2049
bcc2bcea125b48458e84b9f5a8016815,11/04/23,3275,837,1993
bcc2bcea125b48458e84b9f5a8016815,21/04/23,3232,904,2205
bcc2bcea125b48458e84b9f5a8016815,12/04/23,3009,736,1819
bcc2bcea125b48458e84b9f5a8016815,15/05/23,2157,0,1478
